Dialog No.,Gender,Education,a,b,R^2,RMSE,MAE,NRMSE
3069,1,3-3,0.352226,1.087884,0.898539,0.027081,0.01935,0.086659
3520,2,3-2,0.451356,1.088042,0.889067,0.050169,0.041268,0.120995
4360,1,2-2,0.347858,1.090428,0.944114,0.020945,0.013512,0.066057
2092,3,3-2,0.314115,1.090707,0.980662,0.009724,0.0067,0.030913
4072,2,2-2,0.371176,1.090911,0.845749,0.03998,0.029261,0.125344
4013,2,3-2,0.321016,1.091436,0.962988,0.013172,0.009121,0.044655
2752,2,3-2,0.352162,1.091518,0.893135,0.027817,0.022274,0.088567
3255,1,2-2,0.362987,1.091985,0.919015,0.026884,0.022234,0.081902
3811,3,3-2,0.371461,1.092868,0.91498,0.029444,0.024201,0.087558
3554,2,2-2,0.351996,1.094204,0.968007,0.015703,0.013623,0.047651
4340,3,3-2,0.383719,1.094246,0.938135,0.027296,0.023433,0.072988
2790,2,3-2,0.361685,1.096079,0.947779,0.02141,0.017849,0.062755
4483,3,3-1,0.342135,1.096664,0.943955,0.019055,0.014573,0.060664
3845,2,2-2,0.366048,1.098178,0.928571,0.025735,0.022186,0.07506
4147,3,3-2,0.377455,1.098209,0.916812,0.030178,0.026485,0.085838
3770,2,3-3,0.392701,1.098572,0.908398,0.034828,0.028091,0.098866
3491,3,2-2,0.308484,1.099497,0.958564,0.013782,0.010362,0.044049
3216,2,3-2,0.383114,1.099604,0.915229,0.031628,0.024036,0.091823
3449,2,3-2,0.337864,1.099895,0.984835,0.009777,0.008392,0.030181
3113,2,3-1,0.398603,1.100219,0.899573,0.037937,0.031009,0.102431
3281,2,3-2,0.330972,1.101216,0.929912,0.019892,0.011614,0.065983
2032,2,3-2,0.301665,1.101699,0.986733,0.006724,0.004717,0.022553
4548,2,3-1,0.373965,1.102008,0.912941,0.029989,0.027057,0.087535
2113,1,2-2,0.352447,1.102085,0.940346,0.02109,0.016483,0.065489
2627,2,3-2,0.349189,1.10305,0.934766,0.020575,0.015651,0.063308
3561,3,3-2,0.389598,1.10391,0.923618,0.031023,0.026552,0.086175
2658,1,3-2,0.344005,1.105472,0.950825,0.017586,0.014639,0.053665
3064,1,2-2,0.397047,1.105578,0.910731,0.034839,0.03232,0.09517
2812,1,2-2,0.363638,1.105836,0.856589,0.0341,0.023583,0.107548
2521,2,3-1,0.359082,1.106285,0.915799,0.025228,0.020488,0.076189
3096,1,3-2,0.346888,1.107504,0.933884,0.020792,0.013636,0.065754
2761,1,2-2,0.308354,1.10772,0.995058,0.004493,0.003589,0.014826
3184,1,2-2,0.367006,1.11,0.908316,0.029409,0.01882,0.089001
2896,1,3-2,0.356367,1.111722,0.952337,0.019221,0.014987,0.056404
2652,1,3-2,0.391834,1.112147,0.898062,0.035512,0.031537,0.099521
4770,2,2-2,0.378581,1.112191,0.964268,0.019475,0.017098,0.054946
3408,2,2-2,0.348356,1.112351,0.954701,0.017582,0.014746,0.054032
3443,1,2-2,0.357131,1.11355,0.921795,0.024335,0.016024,0.07536
2621,2,2-2,0.36561,1.113667,0.913701,0.026522,0.020782,0.080009
4319,3,2-2,0.396117,1.11409,0.93117,0.029994,0.026673,0.082025
4148,3,3-2,0.380701,1.114519,0.94817,0.023844,0.018151,0.067558
2844,1,3-2,0.368788,1.114605,0.903918,0.028922,0.020469,0.087453
2982,1,3-1,0.394605,1.114722,0.826379,0.047934,0.031962,0.139344
4167,3,2-2,0.404706,1.114953,0.908857,0.036621,0.028827,0.096783
