Speaker No.,Gender,Education,a,b,R^2,RMSE,MAE
1491,FEMALE,1,0.343992,1.014845,0.864743,0.035822,0.025614
1571,MALE,2,0.352338,0.774739,0.866041,0.03765,0.034607
1599,FEMALE,2,0.324511,0.996372,0.849955,0.033633,0.024159
1293,FEMALE,3,0.365575,1.109049,0.851069,0.037936,0.022848
1532,MALE,3,0.301502,0.964585,0.84363,0.030465,0.023849
1020,FEMALE,2,0.349801,1.02863,0.860765,0.036737,0.02917
1676,MALE,2,0.543211,1.219359,0.920487,0.052942,0.044964
1401,FEMALE,1,0.234649,0.765642,0.859941,0.022919,0.020255
1038,FEMALE,2,0.484816,1.273372,0.896015,0.051194,0.039742
1287,MALE,2,0.310419,0.926958,0.869755,0.031283,0.027752
1188,MALE,3,0.329056,1.036551,0.82815,0.031768,0.024068
1309,MALE,2,0.248154,0.77642,0.879599,0.022656,0.019149
1583,FEMALE,3,0.297609,0.926265,0.875105,0.028223,0.017541
1651,MALE,2,0.372584,0.998747,0.895065,0.036602,0.031778
1611,MALE,2,0.328736,1.021806,0.864421,0.031387,0.023589
1577,MALE,2,0.369435,1.053778,0.884704,0.036297,0.025098
1536,MALE,3,0.384601,1.157542,0.845781,0.037401,0.022074
1045,FEMALE,2,0.341642,1.033527,0.867442,0.032542,0.027507
1614,FEMALE,3,0.350685,1.033253,0.889019,0.032653,0.023326
1208,FEMALE,1,0.422409,1.097924,0.904775,0.04134,0.038442
1607,MALE,2,0.348354,1.038974,0.880211,0.032844,0.026729
1560,MALE,2,0.385979,1.063412,0.899116,0.036713,0.029016
1297,FEMALE,2,0.328818,0.937826,0.898714,0.02984,0.025064
1027,FEMALE,2,0.266883,0.930386,0.846397,0.023611,0.018035
1426,MALE,2,0.345398,1.068788,0.848479,0.031213,0.022502
1270,MALE,3,0.30593,0.98493,0.869585,0.027272,0.020695
1245,MALE,2,0.352927,1.017692,0.892347,0.033069,0.028737
1307,FEMALE,3,0.383511,1.18152,0.838936,0.035042,0.018904
1589,FEMALE,2,0.305262,0.926231,0.894575,0.026687,0.017014
1576,MALE,2,0.381114,1.000842,0.909618,0.034659,0.030976
1094,FEMALE,2,0.335006,1.069419,0.855943,0.029127,0.018677
1643,MALE,2,0.390502,1.130686,0.892048,0.034926,0.028707
1608,FEMALE,3,0.30269,0.953579,0.89121,0.02587,0.022302
1603,FEMALE,2,0.341874,0.917743,0.909213,0.030094,0.026418
1529,MALE,2,0.292663,0.914913,0.897754,0.024682,0.015568
1112,FEMALE,3,0.356998,1.109952,0.850471,0.030379,0.017952
1479,FEMALE,2,0.372975,1.121742,0.894702,0.032339,0.020533
1352,FEMALE,2,0.334455,1.059271,0.853764,0.028364,0.020105
1133,MALE,2,0.327049,1.044481,0.853606,0.028166,0.021827
1254,FEMALE,2,0.37406,1.149983,0.860548,0.031623,0.018197
1022,FEMALE,2,0.35094,1.112414,0.850414,0.02862,0.016119
1103,MALE,2,0.318357,1.039494,0.86791,0.026022,0.018262
1696,FEMALE,1,0.317494,0.938159,0.916236,0.025199,0.020985
1451,MALE,2,0.313478,0.993408,0.891999,0.02586,0.020566
1145,MALE,2,0.33187,1.02574,0.904351,0.027027,0.017862
1485,MALE,2,0.337721,0.911284,0.910782,0.029151,0.025836
1594,FEMALE,3,0.3346,1.027157,0.901871,0.027101,0.022767
1000,FEMALE,1,0.33823,1.076244,0.870986,0.026853,0.017631
1654,MALE,3,0.334279,1.065224,0.900694,0.027205,0.015313
1280,FEMALE,3,0.329131,1.052886,0.875187,0.026102,0.018991
1522,FEMALE,2,0.336549,1.03341,0.905238,0.027053,0.023382
1231,FEMALE,3,0.317879,1.057537,0.865623,0.024466,0.013709
1129,FEMALE,2,0.317699,1.008518,0.900763,0.024906,0.017521
1126,FEMALE,2,0.304507,0.969366,0.901707,0.024147,0.020123
1154,MALE,2,0.355899,1.058722,0.916627,0.027785,0.0249
1110,MALE,3,0.356544,1.108854,0.868345,0.027467,0.018785
1476,MALE,2,0.307896,1.008664,0.892974,0.023348,0.019708
1647,MALE,2,0.517349,1.305252,0.944344,0.041305,0.03436
1239,MALE,3,0.336309,1.058935,0.890449,0.02551,0.020373
1034,MALE,3,0.350028,0.999425,0.926745,0.026816,0.022169
1351,FEMALE,2,0.407313,1.237966,0.895841,0.031154,0.018144
1564,MALE,3,0.565831,1.413516,0.9521,0.043651,0.038004
1130,FEMALE,3,0.320721,1.065402,0.874098,0.022947,0.013606
1016,FEMALE,2,0.353791,1.110921,0.887014,0.025899,0.018128
1327,FEMALE,2,0.427229,1.252866,0.896194,0.032277,0.02104
1556,MALE,3,0.391322,1.068815,0.937555,0.02894,0.021875
1490,MALE,3,0.40043,1.20983,0.898438,0.029866,0.018124
1057,FEMALE,2,0.405952,1.235112,0.886231,0.030112,0.016941
1546,MALE,2,0.342468,1.048556,0.917227,0.025558,0.019471
1572,MALE,2,0.402799,1.165162,0.926596,0.030143,0.025515
1044,FEMALE,1,0.334275,1.015013,0.926812,0.024036,0.019466
1190,MALE,3,0.356838,1.109193,0.894498,0.025208,0.019824
1221,MALE,3,0.322261,0.904416,0.935043,0.02282,0.02072
1417,FEMALE,2,0.361213,1.13114,0.893541,0.025127,0.016378
1626,FEMALE,2,0.311378,1.051991,0.905667,0.021523,0.014343
1472,MALE,2,0.500981,1.315461,0.95026,0.036331,0.029662
1170,MALE,3,0.301929,1.005171,0.908001,0.020451,0.016948
1086,FEMALE,2,0.392379,1.21886,0.892963,0.027281,0.014955
1087,MALE,3,0.356759,1.114003,0.914644,0.024351,0.018116
1074,FEMALE,2,0.370869,1.159952,0.886748,0.024911,0.014765
1673,MALE,3,0.371372,1.111226,0.937222,0.025076,0.018193
1500,FEMALE,3,0.35311,1.016171,0.942435,0.023663,0.019263
1496,MALE,2,0.357041,1.104226,0.914158,0.02457,0.020675
1232,MALE,3,0.351305,1.113357,0.913135,0.023082,0.015196
1090,MALE,2,0.356598,1.14445,0.901057,0.023304,0.013838
1168,MALE,2,0.294041,0.977367,0.926704,0.018972,0.013534
1639,MALE,1,0.47226,1.31479,0.945261,0.032084,0.024161
1257,MALE,3,0.359602,1.126927,0.902246,0.023269,0.017447
1212,MALE,3,0.347038,1.065103,0.933585,0.022927,0.020228
1042,FEMALE,1,0.328049,1.07317,0.907376,0.021212,0.01502
1116,MALE,3,0.408949,1.163102,0.945486,0.027227,0.022676
1407,MALE,3,0.335684,1.089211,0.917756,0.021372,0.014868
1612,MALE,2,0.489808,1.413137,0.946549,0.032454,0.02053
1025,MALE,2,0.387292,0.992757,0.946859,0.026118,0.020541
1573,MALE,3,0.389826,1.177882,0.932863,0.024948,0.019794
1171,MALE,2,0.339346,1.102705,0.909836,0.021224,0.014673
1541,MALE,3,0.409338,1.186565,0.945615,0.026519,0.02148
1199,MALE,3,0.352495,1.141145,0.911027,0.021977,0.014343
1123,FEMALE,3,0.340692,1.095559,0.915235,0.021499,0.015837
1043,FEMALE,1,0.381941,1.188652,0.90408,0.023528,0.014348
1263,FEMALE,2,0.295914,1.022941,0.910377,0.017401,0.01282
1390,MALE,3,0.405277,1.269884,0.917242,0.024905,0.013354
1498,FEMALE,2,0.426591,1.186318,0.954994,0.02648,0.02354
1547,MALE,2,0.42239,1.248539,0.94681,0.025805,0.017339
